序列号,GPS时间,经度,纬度,x,y,速度(km/h),航向,工作状态,幅宽(m),深度(mm),深度标准值
8627,2022/10/23 10:56,131.5300538,47.09656033,5218088.98,464322.246,3.27804,253.1,TRUE,5.3,371,300
8628,2022/10/23 10:56,131.5300042,47.09655333,5218088.224,464318.4757,3.11136,269.5,TRUE,5.3,368,300
8629,2022/10/23 10:56,131.5299393,47.096543,5218087.105,464313.5417,2.90764,246.9,TRUE,5.3,235,300
8630,2022/10/23 10:56,131.5298755,47.09651733,5218084.281,464308.681,2.25944,257.5,TRUE,5.3,311,300
8631,2022/10/23 10:57,131.5298367,47.09650933,5218083.409,464305.73,2.74096,249.5,TRUE,5.3,358,300
8632,2022/10/23 10:57,131.5297983,47.09649983,5218082.37,464302.8083,3.57436,241.3,TRUE,5.3,259,300
8633,2022/10/23 10:57,131.5297612,47.0964925,5218081.572,464299.9869,2.74096,273.6,TRUE,5.3,250,300
8634,2022/10/23 10:57,131.5297168,47.09649933,5218082.352,464296.6206,2.85208,275.7,TRUE,5.3,242,300
8635,2022/10/23 10:57,131.5296617,47.09647067,5218079.191,464292.4183,3.75956,262,TRUE,5.3,249,300
8636,2022/10/23 10:57,131.5296205,47.09645017,5218076.931,464289.2768,3.77808,269.9,TRUE,5.3,306,300
8637,2022/10/23 10:57,131.5295647,47.09642667,5218074.344,464285.0248,3.1484,263.5,TRUE,5.3,278,300
8638,2022/10/23 10:57,131.529507,47.09639617,5218070.979,464280.6239,3.01876,231.6,TRUE,5.3,307,300
8639,2022/10/23 10:57,131.5294535,47.09637567,5218068.725,464276.5485,2.81504,269.2,TRUE,5.3,268,300
8640,2022/10/23 10:57,131.5294083,47.09635617,5218066.577,464273.1039,3.48176,252.7,TRUE,5.3,257,300
8641,2022/10/23 10:57,131.5293608,47.09637317,5218068.489,464269.5091,3.4262,264.6,TRUE,5.3,254,300
8642,2022/10/23 10:57,131.5293198,47.09636217,5218067.285,464266.3891,3.31508,263.5,TRUE,5.3,259,300
8643,2022/10/23 10:57,131.529272,47.09635983,5218067.047,464262.7586,3.00024,245.7,TRUE,5.3,249,300
8644,2022/10/23 10:57,131.5292028,47.096347,5218065.652,464257.4964,3.704,264.4,TRUE,5.3,269,300
8645,2022/10/23 10:57,131.5291315,47.09632567,5218063.313,464252.0691,2.778,243.9,TRUE,5.3,224,300
8646,2022/10/23 10:58,131.5290765,47.09630383,5218060.91,464247.879,2.70392,264.1,TRUE,5.3,249,300
8647,2022/10/23 10:58,131.5290378,47.09628833,5218059.205,464244.9305,4.11144,268,TRUE,5.3,241,300
8648,2022/10/23 10:58,131.5289817,47.09626917,5218057.1,464240.6586,3.72252,259.9,TRUE,5.3,235,300
8649,2022/10/23 10:58,131.5289297,47.09625217,5218055.234,464236.6995,3.22248,252.8,TRUE,5.3,313,300
8650,2022/10/23 10:58,131.5288678,47.09624117,5218054.04,464231.9927,3.48176,265.6,TRUE,5.3,266,300
8651,2022/10/23 10:58,131.528806,47.096234,5218053.271,464227.2961,4.03736,264.3,TRUE,5.3,256,300
8652,2022/10/23 10:58,131.5287798,47.09622533,5218052.319,464225.3012,3.81512,251.6,TRUE,5.3,253,300
8653,2022/10/23 10:58,131.5287403,47.09621083,5218050.725,464222.2927,3.92624,245.8,TRUE,5.3,219,300
8654,2022/10/23 10:58,131.5286885,47.096201,5218049.656,464218.3535,3.64844,261.8,TRUE,5.3,239,300
8655,2022/10/23 10:58,131.5286243,47.09618933,5218048.388,464213.4717,4.66704,247.9,TRUE,5.3,375,300
8656,2022/10/23 10:58,131.5285495,47.096179,5218047.274,464207.786,3.241,257.1,TRUE,5.3,346,300
8657,2022/10/23 10:58,131.528522,47.09616717,5218045.971,464205.6903,2.38908,231.9,TRUE,5.3,375,300
8658,2022/10/23 10:58,131.528473,47.09613117,5218041.991,464201.9461,3.64844,232.6,TRUE,5.3,236,300
8659,2022/10/23 10:58,131.528396,47.096115,5218040.229,464196.0895,3.5188,260.5,TRUE,5.3,235,300
8660,2022/10/23 10:58,131.5283217,47.0961105,5218039.763,464190.4457,4.00032,256.2,TRUE,5.3,353,300
8661,2022/10/23 10:59,131.5282573,47.09610183,5218038.828,464185.5507,3.37064,257.1,TRUE,5.3,310,300
8662,2022/10/23 10:59,131.5282555,47.0960995,5218038.57,464185.4124,0,0,FALSE,5.3,0,300
8663,2022/10/23 10:59,131.5282917,47.09610933,5218039.646,464188.1673,3.7966,70.3,FALSE,5.3,0,300
8664,2022/10/23 10:59,131.5283435,47.09612683,5218041.568,464192.1117,5.13004,80.4,FALSE,5.3,0,300
8665,2022/10/23 10:59,131.5284032,47.09613767,5218042.746,464196.6513,5.25968,62.2,FALSE,5.3,0,300
8666,2022/10/23 10:59,131.528446,47.09615917,5218045.116,464199.9151,4.38924,66.1,FALSE,5.3,0,300
8667,2022/10/23 10:59,131.5285233,47.0961965,5218049.231,464205.8086,4.31516,79.4,FALSE,5.3,0,300
8668,2022/10/23 10:59,131.5285948,47.0962165,5218051.422,464211.2503,4.55592,61,FALSE,5.3,0,300
8669,2022/10/23 10:59,131.5286758,47.09622883,5218052.756,464217.408,5.0004,70.9,FALSE,5.3,0,300
8670,2022/10/23 10:59,131.5287227,47.09623467,5218053.383,464220.9725,3.77808,255.6,FALSE,5.3,0,300
8671,2022/10/23 10:59,131.5286755,47.09619517,5218049.014,464217.3626,4.75964,197.8,FALSE,5.3,0,300
8672,2022/10/23 10:59,131.528644,47.0961125,5218039.837,464214.9158,4.27812,162.7,FALSE,5.3,0,300
